stream,binsize,estimatedrate,measuredrate,binsizeindays,particlesperbin,estimatedvsingested,dataratenotes
flort_kn_stc_imodem_instrument,1440,86400,1400,1,"86,400",Conflict,Sample data 300-1400 per day
flort_kn_stc_imodem_instrument_recovered,1440,86400,2200,1,"86,400",Conflict,Sample data 1k-2.2k per day
flort_m_glider_instrument,1440,1440,57000,1,"57,000",Conflict,Sample data 230-57k per day
flort_m_glider_recovered,720,86400,,0.5,"86,400",,No ingested data
fuelcell_eng_dcl_recovered,1440,,,1,0,,No ingested data
fuelcell_eng_dcl_telemetered,1440,,,1,0,,No ingested data
ggldr_ctdgv_delayed,1440,,,1,0,,No ingested data
ggldr_dosta_delayed,1440,,,1,0,,No ingested data
ggldr_eng_delayed,1440,,,1,0,,No ingested data
ggldr_flord_delayed,1440,,,1,0,,No ingested data
glider_eng_metadata,20160,,51,14,714,,Sample data 1-51 per day
glider_eng_metadata_recovered,20160,,19,14,266,,Sample data 2-19 per day
glider_eng_recovered,720,,19000,0.5,"19,000",glider eng big particles,Sample data 3k-19k per day
glider_eng_sci_recovered,20160,,40,14,560,,Sample data 5-40 per day
glider_eng_sci_telemetered,20160,,90,14,"1,260",,Sample data 6-80 per day
glider_eng_telemetered,1440,,10000,1,"10,000",glider eng big particles,Sample data 70-10k per day
horizontal_electric_field,720,,68000,0.5,"68,000",,Sample data 68k per day
hpies_data_header,20160,,1400,14,"19,600",,Sample data 1400 per day
hpies_status,20160,,1400,14,"19,600",,Sample data 1400 per day
hyd_o_dcl_instrument,1440,,,1,0,,No ingested data
hyd_o_dcl_instrument_recovered,1440,,,1,0,,No ingested data
ies_status,1440,,,1,0,,No ingested data
massp_mcu_status,20160,2,1400,14,"19,600","Conflict, but both small",Sample data 1400 per day
massp_rga_sample,1440,17280,,1,"17,280",,No ingested data
massp_rga_status,20160,2,,14,28,,No ingested data
massp_turbo_status,20160,2,,14,28,,No ingested data
metbk_a_dcl_instrument,20160,1440,1300,14,"20,160",,Sample data 150-1300 per day
metbk_a_dcl_instrument_recovered,20160,1440,,14,"20,160",,No ingested data
metbk_ct_dcl_instrument,20160,1440,,14,"20,160",,No ingested data
metbk_sample,1440,,,1,0,,No ingested data
metbk_status,20160,,,14,0,,No ingested data
mopak_o_dcl_accel,180,,1000000,0.125,"125,000",,Sample data 1k-1000k per day
mopak_o_dcl_accel_recovered,180,,207000,0.125,"25,875",recovered rate should be >= telemetered,Sample data 8k-207k per day
mopak_o_dcl_rate,1440,,,1,0,,No ingested data
mopak_o_dcl_rate_recovered,1440,,,1,0,,No ingested data
motor_current,4320,,15000,3,"105,000",,Sample data 15k per day
nutnr_a_dark_sample,4320,,24,,0,,Sample data 18-24 per day
nutnr_a_sample,1440,86400,72,1,"86,400",Conflict,Sample data 53-72 per day
nutnr_a_status,20160,2,,14,28,,No ingested data
nutnr_a_test,20160,0.002739726027,,14,0,,No ingested data
nutnr_b_dcl_conc_instrument,20160,960,110,14,"13,440",,Sample data 20-110 per day
nutnr_b_dcl_conc_instrument_recovered,10080,,,7,0,,No ingested data
nutnr_b_dcl_conc_metadata,20160,,2,14,28,,Sample data 1-2 per day
nutnr_b_dcl_conc_metadata_recovered,20160,,,14,0,,No ingested data
nutnr_b_dcl_full_instrument,20160,3840,220,14,"53,760","Conflict, but both small",Sample data 26-220 per day
nutnr_b_dcl_full_instrument_recovered,10080,,,7,0,,No ingested data
nutnr_b_dcl_full_metadata,20160,,,14,0,,No ingested data
nutnr_b_dcl_full_metadata_recovered,20160,,,14,0,,No ingested data
nutnr_b_instrument_recovered,1440,86400,365,1,"86,400",Conflict,Sample data 365 per day
nutnr_b_metadata_recovered,10080,,,7,0,,No ingested data
nutnr_j_cspp_instrument,1440,86400,,1,"86,400",,No ingested data
nutnr_j_cspp_instrument_recovered,1440,86400,1,1,"86,400",Conflict,Sample data 1 per day
nutnr_j_cspp_metadata,1440,,,1,0,,No ingested data
nutnr_j_cspp_metadata_recovered,1440,,3,1,3,,Sample data 3 per day
nutnr_m_glider_instrument,1440,,,1,0,,No ingested data
nutnr_m_instrument_recovered,1440,,,1,0,,No ingested data
nutnr_n_auv_instrument,1440,,,1,0,,No ingested data
nutnr_n_instrument_recovered,1440,,,1,0,,No ingested data
optaa_ac_mmp_cds_instrument,1440,86400,,1,"86,400",,No ingested data
optaa_dj_cspp_instrument,20160,40,,14,560,,No ingested data
optaa_dj_cspp_instrument_recovered,10080,40,1800,7,"25,200","Conflict, but both small",Sample data 1800 per day
optaa_dj_cspp_metadata,20160,,,14,0,,No ingested data
optaa_dj_cspp_metadata_recovered,20160,,3,14,42,,Sample data 3 per day
optaa_dj_dcl_instrument,1440,24,10000,1,"70,000",Conflict,Sample data 30-10k per day
optaa_dj_dcl_instrument_recovered,1440,24,4000,1,"28,000",Conflict,Sample data 3k-4k per day
optaa_dj_dcl_metadata,20160,,24,14,336,,Sample data 1-24 per day
optaa_dj_dcl_metadata_recovered,20160,,22,14,308,,Sample data 8-22 per day
optaa_sample,120,86400,250000,0.0833,"125,000",Conflict,Sample data 240-250k per day
optaa_status,20160,2,300,14,"4,200","Conflict, but both small",Sample data 300 per day
osmoi_a_subcon_instrument_recovered,1440,,,1,0,,No ingested data
parad_j_cspp_instrument,20160,3600,,14,"50,400",,No ingested data
parad_j_cspp_instrument_recovered,20160,3600,300,14,"50,400","Conflict, but both small",Sample data 300 per day
parad_j_cspp_metadata,20160,,,14,0,,No ingested data
parad_j_cspp_metadata_recovered,20160,,3,14,42,,Sample data 3 per day
parad_k__stc_imodem_instrument,20160,120,1400,14,"19,600","Conflict, but both small",Sample data 300-1400 per day
parad_k__stc_imodem_instrument_recovered,20160,120,2000,14,"28,000","Conflict, but both small",Sample data 1k-2k per day
parad_m_glider_instrument,20160,,810,14,"11,340",,Sample data 74-810 per day
parad_m_glider_recovered,360,691200,60000,0.25,"172,800",Conflict,Sample data 6k-60k per day
parad_n_auv_instrument,1440,,,1,0,,No ingested data
parad_n_auv_instrument_recovered,180,,,0.125,0,,No ingested data
parad_sa_config,20160,2,50,14,700,"Conflict, but both small",Sample data 50 per day
parad_sa_sample,180,288000,310000,0.125,"155,000",,Sample data 250k-310k per day
pco2a_a_dcl_instrument_air,20160,432,128,14,"6,048","Conflict, but both small",Sample data 27-128 per day
pco2a_a_dcl_instrument_air_recovered,20160,432,,14,"6,048",,No ingested data
pco2a_a_dcl_instrument_water,20160,,128,14,"1,792",,Sample data 27-128 per day
pco2a_a_dcl_instrument_water_recovered,20160,,,14,0,,No ingested data
pco2a_a_dcl_metadata,20160,,,14,0,,No ingested data
pco2a_a_dcl_metadata_recovered,20160,,,14,0,,No ingested data
pco2w_a_battery_voltage,20160,1,,14,14,,No ingested data
pco2w_a_configuration,20160,2,,14,28,,No ingested data
pco2w_a_control_record,1440,,,1,0,Should this be 20160 as well?,No ingested data
pco2w_a_regular_status,20160,1,3,14,42,,Sample data 1-3 per day
pco2w_a_sami_data_record,20160,24,24,14,336,,Sample data 9-24 per day
pco2w_a_sami_data_record_cal,20160,,,14,0,,No good data from ingested sample
pco2w_a_thermistor_voltage,20160,1,,14,14,,No ingested data
pco2w_abc_dcl_instrument,20160,1,24,14,336,,Sample data 1-24 per day
pco2w_abc_dcl_instrument_blank,20160,,1,14,14,,Sample data 1 per day
