designator,depth
GA02HYPM-RIM01-00-SIOENG000,5034.0
GA02HYPM-RIM01-02-CTDMOG039,164.0
GA02HYPM-WFP02-00-WFPENG000,2573.0
GA02HYPM-WFP02-01-FLORDL000,2573.0
GA02HYPM-WFP02-03-DOSTAL000,2573.0
GA02HYPM-WFP02-04-CTDPFL000,2573.0
GA02HYPM-WFP02-05-VEL3DL000,2573.0
GA02HYPM-WFP03-00-WFPENG000,5023.0
GA02HYPM-WFP03-01-FLORDL000,5023.0
GA02HYPM-WFP03-03-DOSTAL000,5023.0
GA02HYPM-WFP03-04-CTDPFL000,5023.0
GA02HYPM-WFP03-05-VEL3DL000,5023.0
GA03FLMA-RIM01-00-SIOENG000,1510.0
GA03FLMA-RIM01-02-ADCPSL003,500.0
GA03FLMA-RIM01-02-CTDMOG040,30.0
GA03FLMA-RIM01-02-CTDMOG041,40.0
GA03FLMA-RIM01-02-CTDMOG042,60.0
GA03FLMA-RIM01-02-CTDMOG043,90.0
GA03FLMA-RIM01-02-CTDMOG044,130.0
GA03FLMA-RIM01-02-CTDMOG045,180.0
GA03FLMA-RIM01-02-CTDMOG046,250.0
GA03FLMA-RIM01-02-CTDMOG047,350.0
GA03FLMA-RIM01-02-CTDMOG048,500.0
GA03FLMA-RIM01-02-CTDMOH049,750.0
GA03FLMA-RIM01-02-CTDMOH050,1000.0
GA03FLMA-RIM01-02-CTDMOH051,1500.0
GA03FLMA-RIS01-03-DOSTAD000,30.0
GA03FLMA-RIS01-04-PHSENF000,30.0
GA03FLMA-RIS01-05-FLORTD000,30.0
GA03FLMB-RIM01-00-SIOENG000,1500.0
GA03FLMB-RIM01-02-ADCPSL007,500.0
GA03FLMB-RIM01-02-CTDMOG060,30.0
GA03FLMB-RIM01-02-CTDMOG061,40.0
GA03FLMB-RIM01-02-CTDMOG062,60.0
GA03FLMB-RIM01-02-CTDMOG063,90.0
GA03FLMB-RIM01-02-CTDMOG064,130.0
GA03FLMB-RIM01-02-CTDMOG065,180.0
GA03FLMB-RIM01-02-CTDMOG066,250.0
GA03FLMB-RIM01-02-CTDMOG067,350.0
GA03FLMB-RIM01-02-CTDMOG068,500.0
GA03FLMB-RIM01-02-CTDMOH069,750.0
GA03FLMB-RIM01-02-CTDMOH070,1000.0
GA03FLMB-RIM01-02-CTDMOH071,1500.0
GA03FLMB-RIS01-00-SIOENG000,30.0
GA03FLMB-RIS01-03-DOSTAD000,30.0
GA03FLMB-RIS01-04-PHSENF000,30.0
GA03FLMB-RIS01-05-FLORTD000,30.0
GI01SUMO-RID16-00-DCLENG000,12.0
GI01SUMO-RID16-01-OPTAAD000,12.0
GI01SUMO-RID16-02-FLORTD000,12.0
GI01SUMO-RID16-03-CTDBPF000,12.0
GI01SUMO-RID16-04-VELPTA000,12.0
GI01SUMO-RID16-05-PCO2WB000,12.0
