scenario,id,confluence,name,parameterids,temporalparameter,streamdependency,streamtype,streamcontent,reviewstatus
HYD_O_DCL,DICT653,,hyd_o_dcl_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD2605,PD3398,PD3399",PD7,,Engineering,Engineering Data,
ADCPA_N_AUV,DICT654,,adcpa_n_auv_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3431,PD3412,PD3413,PD1276,PD436,PD437,PD438,PD3414,PD3415,PD3416,PD3417,PD3418,PD3419,PD3420,PD3421,PD3422,PD440,PD664,PD3423,PD3424,PD3425,PD3426,PD3427,PD3428,PD3429",PD7,,Science,Data Products,
FLORT_KN_AUV,DICT655,,flort_kn_auv_metadata,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3432,PD3433,PD3434,PD3435,PD3436,PD3437,PD3438,PD3439,PD3440,PD3441,PD3442",PD7,,Engineering,Metadata,
FLORT_KN_AUV,DICT656,,flort_kn_auv_metadata_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3432,PD3433,PD3434,PD3435,PD3436,PD3437,PD3438,PD3439,PD3440,PD3441,PD3442",PD7,,Engineering,Metadata,
FLORT_KN_AUV,DICT690,,flort_kn_sample,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD3432,PD3443,PD1276,PD3444,PD3445,PD3446,PD3447,PD3448,PD3449,PD3450,PD3451,PD3452,PD3453",PD7,,Science,Data Products,
DOSTA_LN_AUV,DICT659,,dosta_ln_auv_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3,PD1005,PD312,PD940,PD941,PD942,PD943,PD945,PD946,PD947,PD3455,PD948,PD949,PD3456,PD3457,PD3458",PD7,,Science,Data Products,
DOSTA_LN_AUV,DICT660,,dosta_ln_auv_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3,PD1005,PD312,PD940,PD941,PD942,PD943,PD945,PD946,PD947,PD3455,PD948,PD949,PD3456,PD3457,PD3458",PD7,,Science,Data Products,
"CTDAV_N_AUV,CTDAV_NBOSI_AUV",DICT775,,ctdav_auv_data,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3459,PD4,PD3,PD562,PD3460,PD3461,PD2,PD8097",PD7,,Science,Data Products,Replaces deprecated DICT661 and DICT662
PARAD_N_AUV,DICT663,,parad_n_auv_instrument,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3462,PD3463,PD3464,PD3726",PD7,,Science,Data Products,
PARAD_N_AUV,DICT664,,parad_n_auv_instrument_recovered,"PD7,PD10,PD11,PD12,PD16,PD863,PD3430,PD3412,PD3413,PD3431,PD1276,PD3462,PD3463,PD3464,PD3726",PD7,,Science,Data Products,
